#"Step","Potential Energy (kJ/mole)","Temperature (K)"
1010,-40865.23771118908,281.9729874546509
1020,-40908.78253965928,283.2934103911349
1030,-40598.77159137737,281.6395487132491
1040,-40541.94957684724,281.39814925259753
1050,-40395.515933741946,280.57641974155416
1060,-40280.89599119792,280.72912584152607
1070,-40618.3692904688,284.0361438861871
1080,-40328.93774101427,281.94702893079875
1090,-40707.381680280756,286.35387850789385
1100,-40586.465671256185,285.2693991034517
1110,-40750.97422692029,287.86751980749784
1120,-40500.02052333213,286.36477905758784
1130,-40094.100032092014,283.77660992245706
1140,-40318.1889107859,286.12050330949626
1150,-40513.58012885025,289.00465475789736
1160,-40326.9976515724,288.08799384948435
1170,-40386.49454633644,288.6566055626486
1180,-40150.90949630347,286.6424460036011
1190,-40344.58136903519,288.9162860252063
1200,-40203.08158991694,288.5356827496851
1210,-40049.547625799954,286.86010975330987
1220,-40315.3362968818,288.9217461929909
1230,-40474.83984921074,290.5712484765085
1240,-40265.23945323844,289.3125917547235
1250,-40054.39030363593,289.35667918458626
1260,-40310.90899325065,292.6939784291214
1270,-40192.15692681926,292.139705346336
1280,-40092.61495697066,291.7621643663973
1290,-40199.83606927725,292.6195833108017
1300,-39875.68700788472,290.6433269946837
1310,-40076.86408437547,292.70920306031735
1320,-39745.69192940873,291.23359842890704
1330,-39862.64821730963,292.53725738880854
1340,-39551.839372508985,290.54059366116223
1350,-39596.646998390715,292.5146101904084
1360,-39449.44462492365,292.3199139398191
1370,-39390.961652957936,292.18261925862424
1380,-39166.11816822703,290.83191989297353
1390,-39771.17849312143,294.64472029401173
1400,-39925.65482312726,296.98493282498436
1410,-39469.76038232904,293.1429764095111
1420,-39244.72691098704,291.66165168089145
1430,-39377.77119972455,293.8595076231401
1440,-39641.33211622888,296.3101978436109
1450,-39690.32719494442,297.28957635900434
1460,-39278.43474229907,294.0643788674547
1470,-39511.9721257144,297.3531596415427
1480,-39460.82614616641,296.9232204320536
1490,-39543.99077327203,297.6269555053144
1500,-39319.81905330198,295.73943968940773
1510,-39217.03024250806,296.4669769789775
1520,-39083.46089315413,295.630155198956
1530,-39549.70607091668,299.8001207312133
1540,-39435.033554886315,298.0502458388137
1550,-39363.13760125209,298.4258404252572
1560,-38876.41032208337,294.688902920293
1570,-39221.86573298447,297.5034563113285
1580,-38992.336095360515,294.7944238380157
1590,-39201.09731354476,296.35806429037456
1600,-39765.163094884236,299.815264653107
1610,-39240.256307603864,297.01354162312555
1620,-39557.37930779495,299.316945968569
1630,-39419.4579864962,298.740005785002
1640,-39061.53889546402,295.9801585911832
1650,-39031.21995534597,295.15280812540186
1660,-39307.16948436682,297.7967423981662
1670,-39597.03966667881,300.311042778667
1680,-39372.791829539,298.44130828770267
1690,-39166.13866722924,296.66705789729536
1700,-39399.435927151535,299.1227968328044
1710,-39129.02005254574,297.0763481415055
1720,-39197.10212645355,297.24962721730446
1730,-39099.0220516979,296.9414897730355
1740,-39154.56620077926,297.77604730291506
1750,-39156.695512450155,297.60478899162075
1760,-39141.2939362085,298.3059589672806
1770,-39154.327601727855,298.70511079774576
1780,-39429.931341181895,301.1170196493511
1790,-39557.90589966027,303.1437342114826
1800,-38993.618679037696,298.7710701468143
1810,-39403.64592722179,302.5102283731801
1820,-39366.693275322046,301.7589268415239
1830,-39208.17598268548,301.33324327589304
1840,-39346.37020696787,301.76485899774855
1850,-39164.45702197506,299.00589234414946
1860,-39002.86763576457,298.6579013853913
1870,-39261.08626779113,301.7428832513432
1880,-39474.8638013544,303.6351533094745
1890,-39285.1020725161,301.7648051907013
1900,-39627.03428087609,304.3138171774272
1910,-39809.47536570943,305.45798360039447
1920,-39315.04405266915,300.76378732076864
1930,-39295.16965586931,300.7084421363698
1940,-39120.46672035323,298.9902999186456
1950,-39434.152590849204,300.55134914707526
1960,-39257.72075285886,299.8551339841138
1970,-39602.951138782446,302.50062610223415
1980,-39318.79157517404,298.944296422753
1990,-38943.74360513862,295.79661594278747
2000,-38861.37520180471,295.6661159379948
